Learning Rate,Batch Size,Epochs,Test Loss,Accuracy,Micro ROC AUC,Macro ROC AUC,Precision,Recall
0.001,64,10,0.3300082116989597,0.916180086047941,0.9931578770857608,0.9926730171166603,0.9128516907253503,0.906976835506293
0.001,64,50,0.8201498259522515,0.9106868469575906,0.9913355967216694,0.9906837523285432,0.9039413423130421,0.9039267349400119
0.001,64,200,1.613836464680347,0.9041948371235402,0.9892920304465287,0.9881674772959889,0.8970019926512824,0.8965034357756565
0.001,128,10,0.34444165949289707,0.9113783036263061,0.9927395351141641,0.9922015955312163,0.9066998239775679,0.9002141204526772
0.001,128,50,0.9118550856615982,0.9102642901044868,0.9916668385477194,0.9912680697951053,0.905675320084887,0.901540627300872
0.001,128,200,1.4386015414607292,0.9036186232329441,0.9902484155324766,0.9895806710934696,0.8930019981833841,0.8969633776507708
0.0001,64,10,0.4575448031800385,0.8650507068223725,0.9863696274780411,0.9847783837009828,0.8549603984446689,0.8465006658521765
0.0001,64,50,0.5457457482439514,0.8926705593116164,0.9905463258299526,0.989920557244561,0.8859131103354528,0.8785324107300662
0.0001,64,200,1.3584220116823391,0.8964351567301783,0.9895473564466499,0.988663383416417,0.8881323312512904,0.8861770636179702
0.0001,128,10,0.5616072007254058,0.8336278426551936,0.9802359599620317,0.9777043181135724,0.8182361226562905,0.8119255147416174
0.0001,128,50,0.40949611373099626,0.8960510141364475,0.9907024479496623,0.990240588441235,0.8854623642239577,0.8863273892493421
0.0001,128,200,1.2070013381102507,0.8978564843269822,0.9902869406299607,0.989600186770409,0.8881153416666541,0.8887010793271373
